OBSID	ID	SCENARIO	CHOICE	GENDER	A20	A2130	A3140	A4150	A5160	A61	RESIDENT	OINT	DINT	ODINT	AVEH3	AVEH2	INCM	INCH	AT1	AT2	AT3	TD1	TD2	TD3	FEE1	FEE2	FEE3	LI	MI	HI
34	6	2	1	1	1	0	0	0	0	0	1	0	1	0	0	0	300	1.875	10	10	5	15	15	10	0	0.6	0.8	1	0	0
35	6	3	1	1	1	0	0	0	0	0	1	0	1	0	0	0	300	1.875	15	10	5	15	10	10	0	0.8	0.8	1	0	0
36	6	4	1	1	1	0	0	0	0	0	1	0	1	0	0	0	300	1.875	15	10	5	10	15	10	0	0.8	0.8	1	0	0
37	6	5	1	1	1	0	0	0	0	0	1	0	1	0	0	0	300	1.875	15	10	5	15	10	10	0	0.6	1.5	1	0	0
38	6	6	1	1	1	0	0	0	0	0	1	0	1	0	0	0	300	1.875	15	10	5	10	15	10	0	0.6	1.5	1	0	0
39	6	7	1	1	1	0	0	0	0	0	1	0	1	0	0	0	300	1.875	10	10	5	10	10	10	0	0.8	1.5	1	0	0
40	6	8	1	1	1	0	0	0	0	0	1	0	1	0	0	0	300	1.875	10	10	5	15	15	10	0	0.8	1.5	1	0	0
41	7	1	3	0	0	1	0	0	0	0	1	1	1	1	0	0	1800	11.25	10	10	5	10	10	10	0	0.6	0.8	0	1	0
42	7	2	3	0	0	1	0	0	0	0	1	1	1	1	0	0	1800	11.25	10	10	5	15	15	10	0	0.6	0.8	0	1	0
43	7	3	3	0	0	1	0	0	0	0	1	1	1	1	0	0	1800	11.25	15	10	5	15	10	10	0	0.8	0.8	0	1	0
44	7	4	3	0	0	1	0	0	0	0	1	1	1	1	0	0	1800	11.25	15	10	5	10	15	10	0	0.8	0.8	0	1	0
45	7	5	3	0	0	1	0	0	0	0	1	1	1	1	0	0	1800	11.25	15	10	5	15	10	10	0	0.6	1.5	0	1	0
46	7	6	3	0	0	1	0	0	0	0	1	1	1	1	0	0	1800	11.25	15	10	5	10	15	10	0	0.6	1.5	0	1	0
47	7	7	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1800	11.25	10	10	5	10	10	10	0	0.8	1.5	0	1	0
48	7	8	3	0	0	1	0	0	0	0	1	1	1	1	0	0	1800	11.25	10	10	5	15	15	10	0	0.8	1.5	0	1	0
49	8	1	3	0	0	0	1	0	0	0	0	0	1	0	1	0	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
50	8	2	3	0	0	0	1	0	0	0	0	0	1	0	1	0	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
51	8	3	3	0	0	0	1	0	0	0	0	0	1	0	1	0	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
52	8	4	3	0	0	0	1	0	0	0	0	0	1	0	1	0	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
53	8	5	2	0	0	0	1	0	0	0	0	0	1	0	1	0	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
54	8	6	1	0	0	0	1	0	0	0	0	0	1	0	1	0	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
55	8	7	1	0	0	0	1	0	0	0	0	0	1	0	1	0	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
56	8	8	1	0	0	0	1	0	0	0	0	0	1	0	1	0	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
57	9	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	300	1.875	10	10	5	10	10	10	0	0.6	0.8	1	0	0
58	9	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	300	1.875	10	10	5	15	15	10	0	0.6	0.8	1	0	0
59	9	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	300	1.875	15	10	5	15	10	10	0	0.8	0.8	1	0	0
60	9	4	1	0	0	0	0	0	0	1	0	0	1	0	0	0	300	1.875	15	10	5	10	15	10	0	0.8	0.8	1	0	0
61	9	5	1	0	0	0	0	0	0	1	0	0	1	0	0	0	300	1.875	15	10	5	15	10	10	0	0.6	1.5	1	0	0
62	9	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	300	1.875	15	10	5	10	15	10	0	0.6	1.5	1	0	0
63	9	7	1	0	0	0	0	0	0	1	0	0	1	0	0	0	300	1.875	10	10	5	10	10	10	0	0.8	1.5	1	0	0
64	9	8	1	0	0	0	0	0	0	1	0	0	1	0	0	0	300	1.875	10	10	5	15	15	10	0	0.8	1.5	1	0	0
65	10	1	1	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
66	10	2	1	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
67	10	3	1	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
68	10	4	1	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
69	10	5	1	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
70	10	6	1	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
71	10	7	1	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
72	10	8	1	0	0	0	0	1	0	0	1	1	1	1	0	0	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
73	11	1	3	0	0	0	0	0	0	0	1	0	1	0	0	0	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
74	11	2	3	0	0	0	0	0	0	0	1	0	1	0	0	0	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
75	11	3	3	0	0	0	0	0	0	0	1	0	1	0	0	0	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
76	11	4	3	0	0	0	0	0	0	0	1	0	1	0	0	0	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
77	11	5	2	0	0	0	0	0	0	0	1	0	1	0	0	0	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
78	11	6	1	0	0	0	0	0	0	0	1	0	1	0	0	0	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
79	11	7	1	0	0	0	0	0	0	0	1	0	1	0	0	0	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
80	11	8	1	0	0	0	0	0	0	0	1	0	1	0	0	0	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
81	12	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	300	1.875	10	10	5	10	10	10	0	0.6	0.8	1	0	0
82	12	2	1	0	0	0	0	0	1	0	1	1	1	1	0	0	300	1.875	10	10	5	15	15	10	0	0.6	0.8	1	0	0
83	12	3	1	0	0	0	0	0	1	0	1	1	1	1	0	0	300	1.875	15	10	5	15	10	10	0	0.8	0.8	1	0	0
84	12	4	1	0	0	0	0	0	1	0	1	1	1	1	0	0	300	1.875	15	10	5	10	15	10	0	0.8	0.8	1	0	0
85	12	5	1	0	0	0	0	0	1	0	1	1	1	1	0	0	300	1.875	15	10	5	15	10	10	0	0.6	1.5	1	0	0
86	12	6	1	0	0	0	0	0	1	0	1	1	1	1	0	0	300	1.875	15	10	5	10	15	10	0	0.6	1.5	1	0	0
87	12	7	1	0	0	0	0	0	1	0	1	1	1	1	0	0	300	1.875	10	10	5	10	10	10	0	0.8	1.5	1	0	0
88	12	8	1	0	0	0	0	0	1	0	1	1	1	1	0	0	300	1.875	10	10	5	15	15	10	0	0.8	1.5	1	0	0
89	13	1	3	0	0	0	0	1	0	0	1	1	0	0	0	0	1800	11.25	10	10	5	10	10	10	0	0.6	0.8	0	1	0
90	13	2	3	0	0	0	0	1	0	0	1	1	0	0	0	0	1800	11.25	10	10	5	15	15	10	0	0.6	0.8	0	1	0
91	13	3	3	0	0	0	0	1	0	0	1	1	0	0	0	0	1800	11.25	15	10	5	15	10	10	0	0.8	0.8	0	1	0
92	13	4	3	0	0	0	0	1	0	0	1	1	0	0	0	0	1800	11.25	15	10	5	10	15	10	0	0.8	0.8	0	1	0
93	13	5	2	0	0	0	0	1	0	0	1	1	0	0	0	0	1800	11.25	15	10	5	15	10	10	0	0.6	1.5	0	1	0
94	13	6	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1800	11.25	15	10	5	10	15	10	0	0.6	1.5	0	1	0
95	13	7	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1800	11.25	10	10	5	10	10	10	0	0.8	1.5	0	1	0
96	13	8	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1800	11.25	10	10	5	15	15	10	0	0.8	1.5	0	1	0
97	14	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
98	14	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
99	14	3	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
100	14	4	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
101	14	5	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
102	14	6	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
103	14	7	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
104	14	8	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
105	15	1	3	0	0	0	1	0	0	0	0	0	1	0	1	0	1800	11.25	10	10	5	10	10	10	0	0.6	0.8	0	1	0
106	15	2	3	0	0	0	1	0	0	0	0	0	1	0	1	0	1800	11.25	10	10	5	15	15	10	0	0.6	0.8	0	1	0
107	15	3	3	0	0	0	1	0	0	0	0	0	1	0	1	0	1800	11.25	15	10	5	15	10	10	0	0.8	0.8	0	1	0
108	15	4	3	0	0	0	1	0	0	0	0	0	1	0	1	0	1800	11.25	15	10	5	10	15	10	0	0.8	0.8	0	1	0
109	15	5	2	0	0	0	1	0	0	0	0	0	1	0	1	0	1800	11.25	15	10	5	15	10	10	0	0.6	1.5	0	1	0
110	15	6	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1800	11.25	15	10	5	10	15	10	0	0.6	1.5	0	1	0
111	15	7	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1800	11.25	10	10	5	10	10	10	0	0.8	1.5	0	1	0
112	15	8	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1800	11.25	10	10	5	15	15	10	0	0.8	1.5	0	1	0
113	16	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	300	1.875	10	10	5	10	10	10	0	0.6	0.8	1	0	0
114	16	2	1	0	0	0	1	0	0	0	1	0	1	0	0	0	300	1.875	10	10	5	15	15	10	0	0.6	0.8	1	0	0
115	16	3	1	0	0	0	1	0	0	0	1	0	1	0	0	0	300	1.875	15	10	5	15	10	10	0	0.8	0.8	1	0	0
116	16	4	1	0	0	0	1	0	0	0	1	0	1	0	0	0	300	1.875	15	10	5	10	15	10	0	0.8	0.8	1	0	0
117	16	5	1	0	0	0	1	0	0	0	1	0	1	0	0	0	300	1.875	15	10	5	15	10	10	0	0.6	1.5	1	0	0
118	16	6	1	0	0	0	1	0	0	0	1	0	1	0	0	0	300	1.875	15	10	5	10	15	10	0	0.6	1.5	1	0	0
119	16	7	1	0	0	0	1	0	0	0	1	0	1	0	0	0	300	1.875	10	10	5	10	10	10	0	0.8	1.5	1	0	0
120	16	8	1	0	0	0	1	0	0	0	1	0	1	0	0	0	300	1.875	10	10	5	15	15	10	0	0.8	1.5	1	0	0
121	17	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
122	17	2	1	1	0	1	0	0	0	0	1	1	1	1	1	0	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
123	17	3	1	1	0	1	0	0	0	0	1	1	1	1	1	0	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
124	17	4	1	1	0	1	0	0	0	0	1	1	1	1	1	0	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
125	17	5	1	1	0	1	0	0	0	0	1	1	1	1	1	0	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
126	17	6	1	1	0	1	0	0	0	0	1	1	1	1	1	0	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
127	17	7	1	1	0	1	0	0	0	0	1	1	1	1	1	0	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
128	17	8	1	1	0	1	0	0	0	0	1	1	1	1	1	0	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
129	18	1	3	0	0	0	1	0	0	0	0	0	1	0	1	1	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
130	18	2	3	0	0	0	1	0	0	0	0	0	1	0	1	1	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
131	18	3	3	0	0	0	1	0	0	0	0	0	1	0	1	1	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
132	18	4	3	0	0	0	1	0	0	0	0	0	1	0	1	1	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
133	18	5	1	0	0	0	1	0	0	0	0	0	1	0	1	1	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
134	18	6	1	0	0	0	1	0	0	0	0	0	1	0	1	1	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
135	18	7	1	0	0	0	1	0	0	0	0	0	1	0	1	1	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
136	18	8	1	0	0	0	1	0	0	0	0	0	1	0	1	1	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
137	19	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
138	19	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
139	19	3	1	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
140	19	4	1	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
141	19	5	1	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
142	19	6	1	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
143	19	7	1	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
144	19	8	1	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
145	20	1	3	1	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
146	20	2	3	1	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
147	20	3	3	1	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
148	20	4	3	1	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
149	20	5	2	1	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
150	20	6	1	1	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
151	20	7	1	1	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
152	20	8	1	1	0	0	0	1	0	0	0	0	1	0	1	1	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
153	21	1	3	1	0	1	0	0	0	0	1	1	0	0	1	0	1800	11.25	10	10	5	10	10	10	0	0.6	0.8	0	1	0
154	21	2	3	1	0	1	0	0	0	0	1	1	0	0	1	0	1800	11.25	10	10	5	15	15	10	0	0.6	0.8	0	1	0
155	21	3	3	1	0	1	0	0	0	0	1	1	0	0	1	0	1800	11.25	15	10	5	15	10	10	0	0.8	0.8	0	1	0
156	21	4	3	1	0	1	0	0	0	0	1	1	0	0	1	0	1800	11.25	15	10	5	10	15	10	0	0.8	0.8	0	1	0
157	21	5	3	1	0	1	0	0	0	0	1	1	0	0	1	0	1800	11.25	15	10	5	15	10	10	0	0.6	1.5	0	1	0
158	21	6	3	1	0	1	0	0	0	0	1	1	0	0	1	0	1800	11.25	15	10	5	10	15	10	0	0.6	1.5	0	1	0
159	21	7	1	1	0	1	0	0	0	0	1	1	0	0	1	0	1800	11.25	10	10	5	10	10	10	0	0.8	1.5	0	1	0
160	21	8	3	1	0	1	0	0	0	0	1	1	0	0	1	0	1800	11.25	10	10	5	15	15	10	0	0.8	1.5	0	1	0
161	22	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1800	11.25	10	10	5	10	10	10	0	0.6	0.8	0	1	0
162	22	2	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1800	11.25	10	10	5	15	15	10	0	0.6	0.8	0	1	0
163	22	3	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1800	11.25	15	10	5	15	10	10	0	0.8	0.8	0	1	0
164	22	4	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1800	11.25	15	10	5	10	15	10	0	0.8	0.8	0	1	0
165	22	5	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1800	11.25	15	10	5	15	10	10	0	0.6	1.5	0	1	0
166	22	6	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1800	11.25	15	10	5	10	15	10	0	0.6	1.5	0	1	0
167	22	7	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1800	11.25	10	10	5	10	10	10	0	0.8	1.5	0	1	0
168	22	8	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1800	11.25	10	10	5	15	15	10	0	0.8	1.5	0	1	0
169	23	1	3	0	0	0	0	1	0	0	0	0	1	0	1	0	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
170	23	2	3	0	0	0	0	1	0	0	0	0	1	0	1	0	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
171	23	3	3	0	0	0	0	1	0	0	0	0	1	0	1	0	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
172	23	4	3	0	0	0	0	1	0	0	0	0	1	0	1	0	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
173	23	5	1	0	0	0	0	1	0	0	0	0	1	0	1	0	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
174	23	6	1	0	0	0	0	1	0	0	0	0	1	0	1	0	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
175	23	7	1	0	0	0	0	1	0	0	0	0	1	0	1	0	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
176	23	8	1	0	0	0	0	1	0	0	0	0	1	0	1	0	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
177	24	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
178	24	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
179	24	3	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
180	24	4	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
181	24	5	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
182	24	6	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
183	24	7	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
184	24	8	1	0	0	1	0	0	0	0	0	0	1	0	0	0	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
185	25	1	3	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	10	10	5	10	10	10	0	0.6	0.8	1	0	0
186	25	2	3	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	10	10	5	15	15	10	0	0.6	0.8	1	0	0
187	25	3	3	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	15	10	5	15	10	10	0	0.8	0.8	1	0	0
188	25	4	3	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	15	10	5	10	15	10	0	0.8	0.8	1	0	0
189	25	5	1	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	15	10	5	15	10	10	0	0.6	1.5	1	0	0
190	25	6	1	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	15	10	5	10	15	10	0	0.6	1.5	1	0	0
191	25	7	1	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	10	10	5	10	10	10	0	0.8	1.5	1	0	0
192	25	8	1	0	0	0	0	1	0	0	0	0	1	0	0	0	900	5.625	10	10	5	15	15	10	0	0.8	1.5	1	0	0
193	26	1	3	0	0	0	0	0	0	0	0	0	1	0	1	0	3000	18.75	10	10	5	10	10	10	0	0.6	0.8	0	0	1
194	26	2	3	0	0	0	0	0	0	0	0	0	1	0	1	0	3000	18.75	10	10	5	15	15	10	0	0.6	0.8	0	0	1
195	26	3	3	0	0	0	0	0	0	0	0	0	1	0	1	0	3000	18.75	15	10	5	15	10	10	0	0.8	0.8	0	0	1
196	26	4	3	0	0	0	0	0	0	0	0	0	1	0	1	0	3000	18.75	15	10	5	10	15	10	0	0.8	0.8	0	0	1
197	26	5	3	0	0	0	0	0	0	0	0	0	1	0	1	0	3000	18.75	15	10	5	15	10	10	0	0.6	1.5	0	0	1
198	26	6	3	0	0	0	0	0	0	0	0	0	1	0	1	0	3000	18.75	15	10	5	10	15	10	0	0.6	1.5	0	0	1
199	26	7	3	0	0	0	0	0	0	0	0	0	1	0	1	0	3000	18.75	10	10	5	10	10	10	0	0.8	1.5	0	0	1
200	26	8	3	0	0	0	0	0	0	0	0	0	1	0	1	0	3000	18.75	10	10	5	15	15	10	0	0.8	1.5	0	0	1
201	27	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	300	1.875	10	10	5	10	10	10	0	0.6	0.8	1	0	0
